conference,session,source_row_index,sent_index_in_row,sentence,dialogue_act,global_session,speaker,timestamp,global_start_sec,global_end_sec,clip_number,sent_start_sec_est,sent_end_sec_est,global_start_sec_y,global_end_sec_y,session_core,sent_time_sec,annotations,global_timestamp_sec,_utter_row,_sent_idx
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,I guess I I was just talking with Kristoff yesterday who was saying that,,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,1157.0,1160.0,,,MZT,1158.5,"[{'acknowledge contribution': 'Brenda mentions talking with Kristoff, acknowledging his contribution to the conversation, but without agreeing or expanding on it.'}]",1157.0,0,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,I think about a slightly different question.,,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,876.9999999999999,879.8776371308016,,,MZT,878.4388185654008,"[{'present new idea': 'Brenda introduces a new idea about general means of pathogen detection for surveillance, shifting the focus from specific host-pathogen interactions to broader detection methods, which is a novel concept in the discussion.'}]",2034.0,1,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,"Um so in terms of detection, uh one would often want to to know very quickly um if a pathogen is is in a specific organism um for surveillance.",,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,879.8776371308018,889.2299578059071,,,MZT,884.5537974683544,"[{'present new idea': 'Brenda introduces a new idea about general means of pathogen detection for surveillance, shifting the focus from specific host-pathogen interactions to broader detection methods, which is a novel concept in the discussion.'}]",2034.0,2,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,"Um and so general means of of detection so that one doesn't have to look at every, you know, make sensors for every single different kind of of virus.",,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,889.2299578059072,899.0400843881856,,,MZT,894.1350210970464,"[{'present new idea': 'Brenda introduces a new idea about general means of pathogen detection for surveillance, shifting the focus from specific host-pathogen interactions to broader detection methods, which is a novel concept in the discussion.'}]",2034.0,3,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,"So you know, what are molecular markers that we should be looking for that could be easily sampled um and and used in surveillance tasks.",,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,899.0400843881857,908.0,,,MZT,903.5200421940929,"[{'present new idea': 'Brenda introduces a new idea about general means of pathogen detection for surveillance, shifting the focus from specific host-pathogen interactions to broader detection methods, which is a novel concept in the discussion.'}]",2034.0,4,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,"That was it was also interesting the question that Dana hit it to to some degree um of you know, whether we should so so right now we we vaccinate people for example based upon you know, blunt characteristics that that have to do with with BMI and age and things like that.",,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,683.0,701.2258522727273,,,MZT,692.1129261363636,"{'present new idea': ""Brenda introduces the idea of tailoring vaccination strategies based on an individual's genetic susceptibility to a disease, potentially leading to more mutations due to their immune system response, which is a novel concept not previously discussed."", 'ask clarifying question': ""Brenda asks if programs exist that tailor treatment based on an individual's genetic susceptibility to disease, which is a request for information."", 'propose decision': 'Brenda proposes that individuals with a higher genetic susceptibility to fostering mutations should be treated faster, suggesting a concrete choice for the group to consider.'}",2717.0,5,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,"Um but but if you actually um if if you knew someone's susceptibility to the disease uh genetically such that, you know, maybe that person would actually foster more mutations because of um the way their immune system responded, shouldn't you actually be focusing on on treating those individuals faster um um and and you know, could you detect that?",,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,701.2258522727273,724.5923295454545,,,MZT,712.9090909090909,"{'present new idea': ""Brenda introduces the idea of tailoring vaccination strategies based on an individual's genetic susceptibility to a disease, potentially leading to more mutations due to their immune system response, which is a novel concept not previously discussed."", 'ask clarifying question': ""Brenda asks if programs exist that tailor treatment based on an individual's genetic susceptibility to disease, which is a request for information."", 'propose decision': 'Brenda proposes that individuals with a higher genetic susceptibility to fostering mutations should be treated faster, suggesting a concrete choice for the group to consider.'}",2717.0,6,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,I I just haven't heard of of programs like that but but maybe they they do exist.,,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,724.5923295454545,730.0,,,MZT,727.2961647727273,"{'present new idea': ""Brenda introduces the idea of tailoring vaccination strategies based on an individual's genetic susceptibility to a disease, potentially leading to more mutations due to their immune system response, which is a novel concept not previously discussed."", 'ask clarifying question': ""Brenda asks if programs exist that tailor treatment based on an individual's genetic susceptibility to disease, which is a request for information."", 'propose decision': 'Brenda proposes that individuals with a higher genetic susceptibility to fostering mutations should be treated faster, suggesting a concrete choice for the group to consider.'}",2717.0,7,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,"The other thing maybe people can can answer for me is uh you know,",,2021_10_01_MZT_S11_MZT,Brenda Rubenstein,,,,,836.0,840.0,,,MZT,838.0,"{'encourage participation': 'Brenda is about to ask a question and is inviting others to answer, which encourages participation.'}",2870.0,8,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,I thought the second question was about the pathogen genetics.,,2021_10_01_MZT_S11_MZT,Cheryl Andam,,,,,865.0,870.0,,,MZT,867.5,"{'ask clarifying question': 'Cheryl is asking for clarification on whether the second question was about pathogen genetics, after William pointed out the prompt was about host genetics.'}",2899.0,9,0
2021_10_01_MZT_S11,2021_10_01_MZT_S11,,,Just just remove the whole phrase.,,2021_10_01_MZT_S11_MZT,Cheryl Andam,,,,,817.0,820.0,,,MZT,818.5,"[{'propose decision': 'Cheryl suggests removing a specific phrase from the notes, indicating a decision about what to include in the shared summary.'}]",3716.0,10,0
